Category,Food name en_GB,Food name en_US,Food name en_CA,Food name en_AU,Food name en_NZ,Food name en_IE,Overall status,Small portion desc,Large portion desc,Small portion oligos,Small portion fructose,Small portion polyols,Small portion lactose,Large portion oligos,Large portion fructose,Large portion polyols,Large portion lactose,Notes
nuts_seeds,Adzuki beans (boiled),Adzuki beans (boiled),Adzuki beans (boiled),Adzuki beans (boiled),Adzuki beans (boiled),Adzuki beans (boiled),high,Third of a cup (47g),Two thirds of a cup (95g),high,low,low,low,high,low,low,low,
nuts_seeds,Adzuki beans (canned),Adzuki beans (canned),Adzuki beans (canned),Adzuki beans (canned),Adzuki beans (canned),Adzuki beans (canned),high,Third of a cup (47g),Two thirds of a cup (95g),medium,low,low,low,high,low,low,low,
nuts_seeds,Agar agar,Agar agar,Agar agar,Agar agar,Agar agar,Agar agar,low,Half an agar stick (3g),One agar stick (7g),low,low,low,low,low,low,low,low,
confectionery_sugars_sweeteners,Agave syrup (dark),Agave syrup (dark),Agave syrup (dark),Agave syrup (dark),Agave syrup (dark),Agave syrup (dark),high,Half a tablespoon (10g),One tablespoon (21g),low,high,low,low,high,high,low,low,
confectionery_sugars_sweeteners,Agave syrup (light),Agave syrup (light),Agave syrup (light),Agave syrup (light),Agave syrup (light),Agave syrup (light),high,Half a tablespoon (10g),One tablespoon (21g),low,high,low,low,low,high,low,low,
vegetables,Alfalfa (lucerne),Alfalfa (lucerne),Alfalfa (lucerne),Alfalfa (lucerne),Alfalfa (lucerne),Alfalfa (lucerne),low,Two cups (75g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Larger servings (180g or more) should be avoided
condiments,All spice,All spice,All spice,All spice,All spice,All spice,low,Half a teaspoon (1g),One teaspoon (2g),low,low,low,low,low,low,low,low,
condiments,Almond butter,Almond butter,Almond butter,Almond butter,Almond butter,Almond butter,low,One tablespoon (20g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Larger servings (35g or more) should be avoided
bread_cereal_rice_pasta,Almond meal,Almond meal,Almond meal,Almond meal,Almond meal,Almond meal,high,Quarter of a cup (24g),Half a cup (48g),low,low,low,low,high,low,low,low,
nuts_seeds,Almonds,Almonds,Almonds,Almonds,Almonds,Almonds,high,Ten nuts (12g),Twenty nuts (24g),low,low,low,low,high,low,low,low,
